;//原始文本,翻译文本(倒计时为翻译文本里的最后一个数字),即使文字里有数字也不进行倒计时
Original,Translation,DontCount
string,string,bool
Map by Chartapilus,*地图制作: Chartapilus*,false
~ Door will open in 15s ~,"*防守15秒, 等待大门开启*",false
~ Door is now open ~,"*大门已开启, 撤退!*",false
~ Door will open in 25s ~,"*防守25秒, 等待大门开启*",false
~ Afk tele enable in 10s ~,*10秒后开启挂机传送*,false
~ Upper door open in 30s ~,*上方的大门将于30秒后开启*,false
~ Upper door open in 25s ~,*上方的大门将于25秒后开启*,false
~ Bottom door open in 25s ~,*下方的大门将于25秒后开启*,false
~ Upper door is now open ~,*上方的大门已开启*,false
~ Bottom door is now open ~,*下方的大门已开启*,false
~ Upper portal open in 20s ~,*上方的传送门将于20秒后开启*,false
~ Bottom portal open in 20s ~,*下方的传送门将于20秒后开启*,false
~ Upper portal is now open ~,*上方的传送门已开启*,false
~ Bottom portal is now open ~,*下方的传送门已开启*,false
~ Last portal open in 15s ~,"*防守15秒, 等待传送门开启*",false
~ Last portal is now open ~,,false
~ Portal will close in 30s ~,"*防守30秒, 等待传送门开启*",false
~ Portal will close in 10s ~,*还有10秒*,false
~ Last afk tele enable in 5s ~,*5秒后开启挂机传送*,false
~ 8 ~,*8*,false
Truth be told,Truth be told\n(诉说真相之路),false
It's a lonely road,It's a lonely road\n(充满着孤独),false
Chasing your dreams,Chasing your dreams\n(追逐梦想时),false
And all that we are,And all that we are\n(我们拥有的一切),false
And could ever be,And could ever be\n(我们能做的一切),false
Is within our reach,Is within our reach\n(终究是有限的),false
Ignite the fire,Ignite the fire\n(点燃圣火),false
Pure hearts can never expire,Pure hearts can never expire\n(纯洁之心永不枯朽),false
May the bridges that we burn,May the bridges that we burn\n(我们点燃的桥梁),false
Light the way,Light the way\n(必会照亮前路),false
From the ash we rise,From the ash we rise\n(我们从灰烬之中),false
Like phoenix taking flights,Like phoenix taking flights\n(如凤凰般涅磐重生),false
Blaze an immortal,Blaze an immortal\n(化作那永恒的--),false
F L A M E,为您呈现歌曲: Immortal Flame,false
Blaze like an immortal flame,Blaze like an immortal flame\n(化作那永恒的烈焰),false
Shine like the sun,Shine like the sun\n(如烈日般闪耀),false
Piercing the sky,Piercing the sky\n(刺穿苍穹),false
Pure hearts can never,Pure hearts can never\n(纯洁之心永不--),false
Die,Die\n(枯朽),false
Rise from the fire,Rise from the fire\n(浴火重生),false
Begin again,Begin again\n(重头再来),false
Flame,Flame\n(烈焰!),false
Blaze an immortal flame,Blaze an immortal flame\n(化作那永恒的烈焰),false
Waited all our lives,Waited all our lives\n(冗长的等待),false
Just to burn this bright,Just to burn this bright\n(只为有朝一日熊熊燃烧),false
